objectid,ean
304420,4250231727917
144529,5908310266435
11170,5010994058258
36932,3558380008231
36932,0607052441463
54857,3558380008231
54857,0607052441463
37046,5425016922057
37046,5425016920886
37046,5425016921449
37046,5425016920336
37046,0751195350769
37046,7104622435998
38453,4015566030152
73171,3760184940079
73171,0782361234965
73171,0754295852096
96848,0634482734551
248562,0634482734551
118048,0814743013605
118048,4002051691479
142585,0696859283048
189950,0798521202965
189950,0841333101237
173346,0751195342702
173346,7104625568808
173346,0783318481203
173346,5425016923801
173346,7104752341145
173346,5425016923818
10630,0824968718919
10630,0658107693566
10630,0787799964026
10630,9790975277330
10630,0756806183514
10630,0748223525800
10630,0885120343370
10630,0086679900001
10630,0793631441433
10630,0885285890030
10630,0787551967111
270109,0602573705223
148951,0728028332506
19237,0425016922731
41178,0653569362685
41178,0792491440501
41178,0787799357644
41178,0033170843290
268625,0700304048660
17226,0751195336466
17226,8435407601642
17226,0667649074788
17226,9781616611897
104162,0751195336466
104162,8435407601642
104162,0667649074788
104162,9781616611897
130806,9781616615451
132005,9781616615956
133500,9781616615963
135103,9781616615970
137863,9781616615994
142727,8601404323386
142727,9781616617240
143694,9781616617257
144640,9781616617264
146243,9781616617271
147739,9781616617288
149085,9781616617295
154544,9781616618797
157482,9781616618810
159073,9781616618827
160683,9781616618834
162359,9781616618841
168823,9781633440302
172404,9781633440319
172620,9781633440326
173909,9781633440333
175436,9781633440340
176426,9781633440357
178866,9781633441941
180303,0841333100315
186860,0841333100339
186862,0841333100346
190021,0841333100360
201553,0841333100988
203186,0841333100995
206988,0841333101008
206989,0841333101015
212398,0841333101022
212399,0841333101039
213269,0841333101893
218120,0841333102395
219662,0841333102401
225576,0841333102432
2135,0700040025215
41032,9780978811112
25261,9781589943780
125472,0073193708237
125472,9780980209204
153758,9781616617653
257047,0801390117435
257047,0850505008465
257047,0801390117145
7824,0027084037739
80979,8717472960290
91050,0837654863633
94731,0673419145633
94731,5053460624571
94731,0698887710336
94731,5745158599512
94731,5702014735644
94731,9154400068632
160010,3770000010596
195560,0854382007009
197070,0889696005014
197376,0653341027603
197376,8013101129596
163154,0817054011049
118497,0019962304606
271088,3760175516207
193728,0817054011469
293141,3760175516788
19777,9789990069570
21241,0681706070278
22545,0896672001007
24181,0655132000758
24181,4260070350078
24480,0298770410390
24480,0835769016067
24480,0029877041039
25554,4005556269945
213984,4005556269945
27708,0817054011339
31594,4005556269938
214000,4005556269938
40354,0655132004534
40765,0783329274016
40765,0433599289752
40765,0681706710006
48726,0013964757354
54138,0777904248301
54138,0743181090520
54138,0692000178850
54138,0736126326211
54138,0655132003995
54138,0667562017077
54138,0772223043736
54625,5011921053629
165838,5011921053629
55670,0655132004091
55670,0754295957180
59959,0689466627817
59959,9781616616137
63628,7104622891770
63628,0785924990568
63628,2011527100003
63628,0729220830418
63628,0837654863534
63888,3760175510489
63888,0797619840973
63888,0793631161713
63888,3760175510496
66362,0655132004244
66589,0655132004404
79828,7362119512748
79828,0736211951274
79828,0783419164050
90137,9781589946903
96913,4010350607237
97207,0681706070933
97207,0787799944318
97207,0787551956900
97207,8594156310158
97207,0734548813425
105134,0653569728498
105134,0751195351087
105134,0653569728481
111341,0627813247158
127060,4005556269150
127060,0885364228389
127060,0433599305711
127060,0078364893217
136888,0681706713106
136888,0885119156875
136888,0433599359349
136888,7104624848444
140620,3770002176184
140620,0885836360456
143693,0029877035243
144344,4250231705151
144592,0681706713700
151347,9781936920570
154809,4260316380074
154809,4260316380104
176734,0091037681195
176734,0765339874530
181279,0634482734599
182134,0892884000821
187617,0610585961612
192458,5903240069057
192458,0793631840816
