objectid,epid
227758,13009667430
230852,3014890648
244262,21023151457
242529,28034934546
5758,1400109497
138317,1520268515
24068,11025930065
66081,1900098794
172410,1337549485
158275,1833957781
184346,26006209816
98347,1501642813
108906,2255605858
7089,1100059151
126789,691354162
227171,19020841794
30645,22040936700
1751,691283499
217083,935361472
167698,691175489
183271,691175489
1549,1100044098
6932,2255986957
5432,1700549902
40398,2254396414
319294,12041390659
295486,2311200753
187801,1448152486
5107,10034224020
2608,1601833296
2129,1800004317
30328,1800004317
41952,6037252099
37296,19012070520
220502,833233651
154905,1137691815
162889,1837018914
133597,1437009901
25794,1600358461
204431,20003589730
134389,691472744
13375,1000526286
232004,26011407271
252999,23019613213
2389,2164327127
372,691385686
245654,4026343347
251678,4026343347
1254,2255585477
2652,1000124071
257240,18023972182
2281,691118412
1198,710154978
269511,2307028562
144763,2254528589
39813,691377359
5050,1200620096
230591,10011522778
135262,2254532309
8689,1920169393
150146,691128796
282673,28033982896
2838,691406023
33150,710136092
158109,1937496688
82610,1100133100
135262,691336180
19319,1600412667
31503,1800216588
162616,1437069406
2272,1000059453
1410,6009473081
198830,25016548306
42215,1100000718
207243,14027543586
113927,691183289
199329,2155301408
179275,2112331460
1917,19009472432
1299,1500063342
2004,1900169946
245422,16019595434
186265,2255009960
2655,4028574279
67877,1200161174
171,1285763807
157653,2202412645
15987,18036048189
141791,1804638148
24225,1423362113
3623,691290380
231965,23018016063
590,7011381566
5048,710139617
327301,14041531501
2818,15011367485
305564,14043397401
155464,1254022001
184473,1442143089
113873,1023240820
34615,1400550185
140779,691407367
2979,668475547
163412,11026397421
2392,1800115525
118048,12022961498
188720,23011125710
98762,710126440
339,710154618
29109,1000509615
1445,23009475797
99079,28017083438
256874,27023839877
3864,1124629077
116938,1300126188
12875,710165268
255681,7026272536
4853,1509881529
25968,7009505069
256916,9028475820
262711,9028475820
286751,27045745698
220774,2277507663
36218,500776447
209418,500776447
145259,1208030881
319291,23040977859
326146,22037199355
160418,1540683582
178900,27026720598
201310,1186953135
256541,3023319792
223740,18033866916
4769,1300618188
224821,24015404460
12205,1000022034
136585,691226833
258389,4025617816
1459,1600608469
266554,9031729937
2448,8009546775
39862,691118598
102794,2255357267
89962,710141095
230050,23016431588
271512,20033814398
161936,7017006225
284839,4035638414
5432,1000462177
110139,1501040295
126954,1501040295
4853,710159137
171131,929842055
249821,21019618399
150312,23007191912
5895,1600627371
22347,1700042437
124185,1621923273
173200,1338344741
63888,1982418319
223321,20021485291
207582,18012068862
180956,3009543807
5867,1300105155
138026,28018344599
17053,13012031542
186860,1564355684
283211,23043089960
91034,7020451664
25021,1117663068
180199,2203699542
146508,691165751
177799,1229125341
178494,710152843
66589,1101327955
145601,28005344923
255900,28023971035
187801,1941878958
11200,2303211881
1294,16009927921
154633,16009927921
274841,13041241210
240909,6022461474
154597,1600113916
62871,691371861
34219,691132779
216091,3037444597
91773,1700026246
112598,710080135
213549,4002817456
246761,14020275094
2452,691245503
254122,11023754709
2407,710081544
154343,710081544
6800,1800012919
62709,1700159326
20545,710135339
9209,1952860890
231280,16009831483
37397,1300272822
197061,1881434678
176130,21012048225
34390,7033852834
194474,630699647
283649,28039205630
230059,18006736957
252693,16025018016
181345,2255468108
4853,5045090867
299047,21037718660
134396,1124944087
1256,1400085287
151468,2036268547
295577,28037141630
226520,13029746706
141517,1353851857
178054,1353851857
126951,1722497210
163032,1139074573
118385,691448249
6351,1200296033
270673,24035082579
1111,2164345212
148319,1030458742
181810,2100992324
33157,8012573443
202408,2110500194
272752,14032644405
24827,1739428994
139867,593934148
220520,7005257915
147523,2254465609
256442,5036471447
4122,576223696
218983,626233171
272533,10042695860
148203,1300133699
256972,26035607997
267271,19036418641
4910,1200686170
279063,9024476892
191236,1467594292
259066,23045584211
286265,12035069712
181819,13031395571
249514,13021378022
238992,16030549861
10550,691233078
16267,1400111571
259996,28034545341
179835,1775022322
148040,710040690
285773,15034498660
159503,888559470
136558,1922706536
244918,18023941914
11634,710141254
28,1300168167
859,1300168167
209728,2122119938
236709,3020149779
202443,21012583040
154842,1628454911
253354,4029488765
175324,24010489858
202583,2295853324
298055,20037732033
256952,8029376756
205716,1787157050
272743,6034567690
233977,23012571979
96152,1200202149
266810,6034706112
213099,5004294346
299074,26038890469
9209,691388308
443,1600541797
261503,19021875778
302524,2315549954
284354,19034938119
1518,1537984114
118174,1140483041
194690,2212637787
131357,1222551800
33493,1209288098
27710,1140066959
188390,2271355747
9851,2255288641
225567,27004347207
315708,14042074170
18400,1903600604
272739,28037363184
276291,9033702769
164153,12032770377
169786,20027055188
192945,580917696
252153,13038245492
24147,664688474
179601,1051910780
624,1907890770
14087,1500602808
285992,5034448721
251733,7022706308
213360,21018914986
173064,1884800043
11231,1201379273
152615,1708035594
128554,13014603859
233571,28026459768
307656,12041413949
233371,6015526569
269210,20032351631
123828,1300163153
159843,1300163153
91872,1300271511
193060,1974685487
41068,1500059555
184151,2203720644
172242,27025751110
284742,15044006146
40834,2255635130
209419,2255635130
161757,1142088069
181689,1352918887
123239,1100452169
275404,19032096051
177249,1385216820
182134,660087998
223602,2165677462
273473,23035997660
1835,1200209900
171915,710234677
190798,28012564559
88016,1507787362
195237,2150685281
9962,1602234633
193065,2148911326
200726,743902831
149097,1137651901
273481,16027735175
6810,1300106058
168703,12011030269
226840,13011027496
86955,1648430269
226631,28034808317
163,2255258978
210163,26012573664
230080,17010847019
72478,1500472918
70519,1522715745
143884,28028292358
224754,20012034318
117915,691302822
262151,5026565078
245377,3017459728
226588,16012010813
201277,2012806958
247115,4027668730
142547,2254492684
287954,19035225337
31627,710134384
282070,18034594255
206244,2117488931
40990,691429344
263736,15029985024
66356,1732136000
257283,16032603913
259081,26034288715
39080,1200557656
70323,7021697106
30166,1100112257
302524,2311804479
251890,19023973008
196619,1280761081
1829,2017801776
275407,8025235813
176371,24012661046
66356,1700000188
242301,15017933945
280885,24038048493
220836,15010922376
2582,1833492028
261502,23021823837
1931,1000079213
38355,1123715530
305517,13040714924
144761,1222547082
131366,1109151310
281541,4035705836
296151,24042312204
257769,2304765313
261504,6021819270
1270,1701866686
215842,3008970663
177590,1174299222
280809,22034361935
248185,17023969586
163154,1473144795
227545,10019595007
248861,25040551355
174078,596259395
267813,2305281534
75547,25011505298
289056,16039250406
256226,21026417405
119012,1522442041
258740,14019690998
208545,1191736291
116,1400115376
16933,1400187115
22894,1400187115
176494,27011375566
132544,1542213585
107529,1300563288
285774,27034976101
228133,27012564010
248184,15023971588
244212,16022324923
251420,4021426461
236232,2174846338
25823,691360028
