objectid,mfgid
304420,55141G
144529,PLG0435
11170,41712100
36932,ASMCLAU01
36932,CLAU01
54857,ASMCLAU01
54857,CLAU01
37046,GHOMU01US
37046,GHO01
38453,4015566030152
38453,CZ005
73171,ASMER01EN
73171,"ZMG 7060"
96848,73455
96848,WZK73455
248562,73455
248562,WZK73455
118048,691479
142585,5104AYG
189950,TM16
173346,SEV07
10630,DOW7301
10630,DO7301
270109,IWBase-EN01LDLKY
270109,IWBase-EN01
148951,331529
41178,1
268625,TP116-469
17226,FFDES01
104162,FFDES01
130806,ADN02
132005,330805
132005,ADN03
133500,FFGADN04
133500,ADN04
135103,ADN05
137863,ADN07
142727,ADN09
143694,FFGADN10
143694,ADN10
144640,330813
144640,ADN11
146243,FFGADN12
146243,ADN12
147739,FFGADN13
147739,ADN13
149085,FFGADN14
149085,ADN14
154544,FFGADN16
154544,ADN16
157482,ADN18
159073,ADN19
160683,ADN20
162359,ADN21
168823,ADN23
172404,ADN24
172620,FFGADN25
173909,FFGADN26
175436,ADN27
176426,FFGADN28
178866,FBA_FFGADN29
178866,ADN29
180303,ADN30
186860,ADN32
186862,ADN33
190021,ADN35
201553,ADN36
203186,ADN37
206988,ADN38
206989,ADN39
212398,ADN40
212399,ADN41
213269,ADN42
218120,ADN43
219662,ADN44
225576,ADN47
2135,AG2521
41032,0002
25261,TH01
125472,SFG00012
153758,FFGRE02
153758,RE02
257047,RGS0846
7824,004859
7824,0027084037739
80979,TGMFOR01
91050,MNIVF100
91050,837654863633
94731,3860
160010,CNM01
160010,CON01
195560,PAN7009
195560,07009PSL
197070,MD001
197376,STM700
163154,GMT1514
118497,MBG01020
271088,51620
271088,IEL51620
193728,1720
293141,51678
293141,IEL51678
21241,7027
21241,"ZMG 7027"
22545,EGL10104N
22545,TRP001
24181,RIO075
24181,75RGG
24480,4102617
24480,MFG4103
25554,ALE26994
213984,ALE26994
27708,GMT1706
27708,1706-20
31594,ALE26993
214000,ALE26993
40354,453
40354,"RGG 453"
40765,ZMG71000
40765,ZM7050
48726,STG1030EN
48726,GSUH1030
54138,RIO399
54138,RGG399
54625,5011921053629
54625,NA
165838,5011921053629
165838,NA
55670,RIO409
55670,RGG409
59959,FFGVA88
59959,VA88
63628,MNI-MHP100-1
63888,IEL51049
63888,"I 51049"
66362,RIO424
66362,RGG424
66589,RIO440
66589,RGG440
79828,TRF03
79828,TRG4003
90137,GW03
90137,Ubigbb01
96913,QUE60723
96913,60723QNG
97207,CGE00015
105134,35596
105134,JUN118204
111341,ST4GAMTGZP0_30153
127060,VR-821
127060,26915
136888,ZMG71310
136888,"ZMG 71310"
140620,ASMLEW01
140620,LEW01
143693,MFG3524
143693,MF3524
144344,331769
144592,ZMG71370
151347,L99-MB001
154809,WYG00006
176734,MNI-EE100
181279,73459
182134,NSG-520
182134,520NSG
187617,"HPS VPG09021"
192458,057PLG
193037,"ZMG PHG10001"
193037,PH1001
195539,GDF001
215341,ALD06261
222509,AWR001
222509,ARLOH001
224783,ORN101
224783,ONB0113
227789,826956510109
228341,CGE00042
234277,MFG3527
234487,RGS0807
234487,DLP1014
244711,NEW001
244711,CMNNEW001
115293,FFGVA83
133671,RIO487
140149,331062
268166,TP118-506
254135,BFG001
145196,BEZ01323
145196,BEZ00006
282853,CN3005
77011,RGG522
170951,GIO00027
245934,ALE26919
250458,TTT2030
256916,561
256916,B07L914J5J
257499,AHB01
257499,FFGAHB01
260428,ZM7124
260428,ZMG7124
1301,FFGADN01
1301,ADN01
124742,FFGADN01
124742,ADN01
317985,RIO580
23953,7022MG
24770,19100
39425,ASMFDC1IC
39425,FDC01
92190,SPM21101
106637,DOW720113
106637,DO7213
109779,MER001
119657,DIX05ML3
121288,ASMDIX04
121288,DIX04ASM
122298,28282
130605,PSUPAN03
130605,PAN03
134342,WTC35790000
138547,DIX03
140934,RGS00830
144384,TKD02
145325,688623106431
155731,FNFTKDSPUS01PGS
186375,FNFTKDSPUS01PGS
167400,ASH0001PHG
167400,PH1200
170416,LED00002
170416,B01MRVPFTM
180974,PTN001
203416,692698
203417,692742
205359,SWD03
209778,DGM2988
209778,MM01DG
215840,692872
215841,692858
215842,692865
221965,RGS00574
226518,694050
226519,694043
226520,694036
226522,694029
2005,0681706999999
2005,7001E
242684,GFG96730
193557,AD02
35572,"RGG 379"
128442,FFGRE01
128442,RE01
141320,5002TTT
319294,49351
84876,81243
20806,9780786940721
20806,95612
2507,005VLY
35052,"WOC 95775"
35052,95775
227995,43396-110638
181819,WWG700
241724,SIF00030
2338,4098997
2807,"MFG 3072"
2807,CN3072
4100,MFG3001
4100,4098998
4103,"MFG 3074"
4103,CN3074
21817,MFG48722
27760,MFG3067
66056,3131
66056,5511619
103091,MFG3204
103091,CN3204
135378,CN3075
152959,3102
152959,5511777
229218,CN3015
17025,IEL00037
980,100930
980,00930
265736,ALD07053
140863,FERD0003
140863,HE733
204650,CGE00038
25261,HEI00148
218121,ALDICEHOS01
267367,BEZ019213
267367,BEZ00035
164169,SWX28
145599,MWJW01
22049,1394
173,FDUSASM
173,FD01
37904,FDUSASM
37904,FD01
161842,MATSKEM2
155996,7101-SG
158326,STAC-UPRS
146791,331065
17223,4099159
17223,WC03
179460,8018SG
276104,RIO587
3495,WOC14032
4004,MAT42753
6485,MAT42753
19578,21410
19578,HPR05
19725,1-933318-13-9
19725,HPT05
228867,43227-1264
228867,SG_B074R7S6XD_US
239307,ZX05
240909,03603
244918,694227
255675,694289
266121,SCUNL05EN
269968,697907
279613,UNL06
233078,TI07
297486,IR201CTG
297486,IR201
32683,K5807
103132,692087
40834,RIO532
209419,RIO532
254470,RGS00828
155821,MATSINI1
212346,FFP0710
72478,ZMG07061
72478,"ZMG 7061"
514,3601-06
37165,100867
37165,"GW 4001"
37672,100867
37672,"GW 4001"
2375,8002
29581,9781594721007
29581,AEG5001
119550,WHC31
218179,PRJ01
110524,RGG489
113927,AEG5304
113927,"AEG 5304"
125050,CG501
139992,KB0001
140457,BEZ00005
145308,GST77220
194789,"DMG 10MH 001"
250561,EECMKA01
2557,3107368
10383,217590000
10383,4098337
3190,GCQI
3190,823
23010,4321523486
27961,55536
126789,RI006-289
183880,B2355
192349,10191
199882,RI066-201
218074,57460G
218178,MATSCSO2
4394,4098910
4394,MFG3201
107576,RGG463
191004,"ZMG 71265"
191004,ZM7265
260678,GU640
34635,RIO361
34635,361RGG
299597,JME05
299597,FFGJME05
128236,QUE61031
128236,QUG61031
2651,"RIO 506"
155873,"RIO 506"
179719,RI104-375
194655,6039848
224037,CGE00040
232832,PBG40010EN
242302,ALD07032
256226,NMG60011EN
24068,ZMG7030
24068,ZM7030
237182,LED01000
3,KN26
118,MDA001
8217,81206
166669,81206
195314,pfx500
244114,GRL3222
254018,PGSOL01FR
275969,73767
275969,WK73767
286749,55148G
143063,"RIO 500"
192802,MIB1017
1824,042387
15261,MFGPHA1247
15261,4099211
65781,WFR1023
65781,MFG5862
234190,3678-UU-BsG1
234190,TEE3678UUBSG1
221230,STG2300EN
221230,40886
142903,DRFF2016
2979,31390
6673,PLE42100
6673,554416
10674,PLE43100
10674,554491
195856,BBN001
10911,PLE44100
10911,697217
47462,40130PLE
188699,AQ019
256382,208809
232226,MFG3529
300531,ZH007
84,3421
234,401
234,401VLY
1822,GMT0104
3685,3161DX
9823,ASLSK1
9823,NA
12891,451RGG
17392,77294
17392,GMT0512-17
18098,SG002
18098,SISSG0002
20542,135577
23418,GMT0810
24800,AYG5001
26997,GMT1202
26997,"GMT 1202"
28181,"GMT 0811"
28181,GMT0811
29603,DCG-1018
29603,01018
31790,na
37836,3121
38718,FBA_GMT-1008
38718,GMT1008
38786,GMT1205
38823,17567
38823,AYG5002
38996,77278
38996,GMT1002-14
39217,77273
40209,1019
40209,DCG1019
41066,331464
41066,"GMT 1201"
42673,43227-673
62222,GMT1014
65564,DVG1015
68820,CPS-1018
68820,SG_B011QO90U4_US
69779,1403MCY
84419,"GMT 1108"
88827,HAS282950000
88827,5511559
94246,ACA05312
94246,AYG5312
102435,331471
102435,"GMT 1311"
111799,331469
111799,GMT1309
113873,1317-19
123955,DVG-017
127518,331470
127518,"GMT 1310"
130960,GMT-??
132018,GMT1504
132028,330114
132028,5011AYG
135219,WOTR010
136955,KW06-1
144189,331477
149951,DV1-030
154875,GMT1509
154875,1509-19
162009,GMT1506
164949,GMT1610
164949,1610-18
165872,FBA_GMT1508
165872,GMT1508
199904,1701
302524,87520
302524,WZK87520
148261,"zmg phg13000"
148261,PH1300
33732,JKL0063
66533,WOG044
255163,73461
423,MFG0472
423,4099018
24157,9780966347647
24157,600
124965,WTC398050000
124965,398050000
124968,WTC398710000
124968,398710000
130827,"I 88007"
144386,51213
156548,SPM210501
192401,48746_SML
224821,0081
177861,CPS-1034
10668,BGAPDesertRats
11705,1
18615,BLPH013-0000
37111,UBIBG01
37111,BSG01
4378,4782
157521,3402
5717,43383-16670
5717,SG_B00380JZVO_US
7682,PCBIG2
8784,1017621
8784,B00108RSQA
43578,8149329
43578,MC01ASM
94483,GM106
172007,1001
189062,"FBA_Main Game"
189062,SG_B018EXPGPI_US
230852,205
244916,692834
70519,VPGCRUELBOX
225275,RB06
144568,VPGZEDS2NDBOX
99,na
148931,IBG0CO02
158957,WWG002
177802,ALD05509
293014,BLNID-EN
199792,STG2654EN
9216,681706709505
9216,"ZMG 70950"
274466,AEG7036
10640,6-99788-10908-3
10640,4098529
163976,53902
163976,GX037
424,MFG0471
424,4099019
3837,204T
27101,GMT1204
27101,"GMT 1204"
30450,331483
30450,1052
65225,ZMG7047
65225,"ZMG 7047"
72132,EAG01300
72132,101300N
58886,87754
58886,877543
204516,5500AYG
206150,ACA05354
206480,GMT2001
220588,1903
234,phahrvc
227460,phahrvc
268864,OSPGAM029
268864,83470
233247,CIV01
139562,SDROC01
139562,325613
147716,MGMA01-1
181693,71391ENFRZMG
254386,MBGB1300
218103,RGS00569
172659,APE02501
131449,1011TTT
19857,CGF004BK
19857,CGF00901
218127,STG07200
99120,ZMG7087
99120,7087
270364,BND0041
270364,BDBND0041
1607,2917
1607,EI-2917
168054,GRF1IBC
193065,SISL:BRCL
3427,4470
3427,4470-06
9048,B4188
13303,C0591
25946,PIT003
96188,WDF11080a
96188,11080WDF
65515,MFG4117
65515,MF4117
281946,PH3000
281946,PHG3000
225163,51334
168584,5114AEG
244995,08819908056
244995,4057
179835,8022SG
150312,IEL51234
262540,BWR0811
1231,601120200
1231,33RGG
1353,975
163,0980
1544,0980
11971,SSP40829
14254,MIN001
20100,NSG101
925,ASM1027
925,KG01
25821,ASM1027
25821,KG01
33604,NSG200
33604,200NSG
37141,RRG979
37141,979
38159,0689076213653
38159,BEZ00001
98229,6002SG
252526,6002SG
102548,FFGHB05
104581,ASMMOC01EN
104581,MOC01ENASM
113997,MYST01ASM
113997,MYST01
181304,MYST01ASM
181304,MYST01
123239,NSG125
123239,125NSG
128882,IBG0RE02
131325,TIM04
131357,IBG0CO01
142271,TEVE-08
143741,DVG9105
143741,"DVG 9105"
145189,ASMCARCH05UK
147151,ASMCONUS01
147151,CONC01
148943,IBG0CO03
152242,BEZ01402
156129,GFG96761
164265,BEM01ASM
166384,MAR152626
175549,FAC-SAL-1001
191894,110
193214,MATSMEE1
193308,21280CZE
194626,600NSG
195043,51305
198454,WID01
198740,A5123
206051,OIN09023
218311,DVG4474
218530,FCD-TOR-1001
218530,1667
219215,WWRDBEZ
278,693732
80311,FFGWHC13
80311,WHC13
95610,FFGWHC20
95610,WHC20
110517,331338
110517,WHC28
114678,HE231
118006,331340
118006,WHC30
6205,0307-06
6205,GMT0307-06
238090,AAX13001
2394,6029400
133632,MYTH01
226506,RAMBO-CORE
226506,EEG-RAMBOCORE
269810,RIO566
154560,815442017819
4753,"FFG KN-05"
4753,KN05
45,MIB1019
45,63832
220,62056
220,82777
42215,601128400
42215,RGG398
107529,QUG60833
107529,60833
134726,ALD05502
160018,ALD05506
160499,IEL51170
12493,TI03
12493,FFGTI03
233078,TI03
233078,FFGTI03
191364,5847AEG
270673,PAN7450
270673,PAN201910
275467,00052CGE
275467,CGE00052
118536,330276
316858,7001CTG
316858,CTG7001
86177,GMT1505
235533,545
235533,51908
21050,GMT0609
290448,STM901
159473,GGM00003
129308,DCG-1708
22304,ZMG7006E
22304,7006-E
126602,41264
192860,IEL51301
10,139
10,139RGG
878,0655132001762
878,176RGG
22141,DOW7501
296557,10502
121410,FBA_331636
121410,"I 51123"
132372,AEG5601
284083,691868
145639,331669
149155,4315MG
149155,MDG-4316
232988,82403
233020,REO0338
155624,PH1500
25021,77250
187680,"English First Edition"
12372,847
149112,331575
149112,MAR142411
199877,SHAK02
149323,SG_B00NYJCVX8_US
149323,A6478
51811,404
51811,404RGG
66690,422RGG
108687,655132004565
108687,RGG456
125153,EAG01653
209010,"Wave 1"
216132,KAR38205
229853,NSK024
225694,IEL00072
245422,WWDXBEZ
245422,"Bezier Games"
252526,CGE00047
253618,6045564
254640,JOUS01
255615,ARWDTE07
257527,00045CGE
257527,CGE00049
280136,PAR-R01-ENLKY
280136,LKYPARR01EN
303051,48713
213893,DO8601
271615,26129
314014,CIV02
314014,FFGCIV02
312267,SWU001
338,604VLY
223740,RGS00855
1513,003VLY
7480,GMT040510
139771,WZK71120
41068,nov085105
41068,98013
949,C-B11OR-72
949,"3M COMPANY"
66608,PSIVLY206
66608,206
160680,1015
154259,IMPLGL200
154259,LGL200
66508,330417
66508,"DVG 9102"
174430,CPH0201
4864,25603
32688,25603
28720,0718122262502
28720,101081N
30549,PAN01
31260,LOG00028
35677,"RGG 364"
36218,YDB01
40834,CARC01
25568,4260071875938
25568,168405
29298,978-1-58994-359-9
29298,VA41
31536,FFGVA53
34194,ABA03081
34585,KEL01
35497,75808
35497,875808
36708,1
36946,9781589944343
36946,SL02
181,450861010
37198,450861010
37904,FD
38054,SNW01
38386,OM01
42444,IEL04053
42444,4053
152053,3HG101-1
162388,L99-BC007
154182,71340ZMG-Helios
9609,WOTR001
