objectid,upc
36932,607052441463
54857,607052441463
37046,751195350769
73171,754295852096
73171,782361234965
96848,634482734551
248562,634482734551
118048,814743013605
142585,696859283048
189950,798521202965
189950,841333101237
173346,783318481203
173346,751195342702
10630,793631441433
10630,885120343370
10630,658107693566
10630,748223525800
10630,824968718919
10630,787799964026
10630,885285890030
10630,787551967111
10630,086679900001
10630,756806183514
270109,602573705223
148951,728028332506
19237,797839038020
19237,756806184719
19237,425016922731
19237,756806092335
41178,787799357644
41178,033170843290
41178,792491440501
41178,653569362685
268625,700304048660
17226,751195336466
17226,667649074788
104162,751195336466
104162,667649074788
180303,841333100315
186860,841333100339
186862,841333100346
190021,841333100360
201553,841333100988
203186,841333100995
206988,841333101008
206989,841333101015
212398,841333101022
212399,841333101039
213269,841333101893
218120,841333102395
219662,841333102401
225576,841333102432
2135,700040025215
125472,073193708237
257047,850505008465
257047,801390117435
257047,801390117145
7824,027084037739
91050,837654863633
94731,673419145633
94731,698887710336
195560,854382007009
197070,889696005014
197376,653341027603
163154,817054011049
118497,019962304606
193728,817054011469
21241,681706070278
22545,896672001007
24181,655132000758
24480,029877041039
24480,298770410390
24480,835769016067
27708,817054011339
40354,655132004534
40765,681706710006
40765,783329274016
40765,433599289752
48726,013964757354
54138,692000178850
54138,655132003995
54138,667562017077
54138,772223043736
54138,736126326211
54138,777904248301
54138,743181090520
55670,754295957180
55670,655132004091
59959,689466627817
63628,729220830418
63628,837654863534
63628,785924990568
63888,793631161713
63888,797619840973
66362,655132004244
66589,655132004404
79828,783419164050
79828,736211951274
97207,787551956900
97207,787799944318
97207,734548813425
97207,681706070933
105134,653569728481
105134,751195351087
105134,653569728498
111341,627813247158
127060,885364228389
127060,078364893217
127060,433599305711
136888,433599359349
136888,681706713106
136888,885119156875
140620,885836360456
143693,029877035243
144592,681706713700
176734,765339874530
176734,091037681195
181279,634482734599
182134,892884000821
187617,610585961612
192458,777904600291
192458,793631840816
193037,681706100012
195539,889696003645
215341,729220062611
222509,618458982061
224783,860154002301
227789,826956510109
234277,029877035274
234487,634479098505
234487,850505008076
244711,889696009043
133671,655132004879
140149,612520576349
140149,094922427021
268166,700304150219
145196,785924888889
145196,689070013235
282853,029877030057
282853,029877030071
77011,782495872729
77011,655132005227
256916,655132005616
257499,841333107147
260428,841333106591
1301,033586149498
1301,885150129609
1301,885247473325
124742,033586149498
124742,885150129609
124742,885247473325
317985,655132005807
23953,080162879683
24770,803004191008
39425,754295562896
92190,817009010004
92190,772223040810
106637,824968117736
109779,850938004003
119657,795036952842
121288,772223238477
121288,852791003018
122298,713757272605
122298,787799506486
122298,793631755059
130605,859580004034
130605,772223633708
130605,736126083893
134342,885219070095
134342,885230149619
134342,787718859648
134342,885293414204
134342,044975393767
134342,885142659503
134342,885855481996
134342,653569831679
134342,092992218952
134342,607052443542
134342,044949499433
134342,885819662591
138547,688623106424
138547,783324776539
138547,751195343778
138547,885865297204
138547,885304068341
138547,798525950732
138547,787551917956
138547,885381085781
140934,703546240601
140934,850505008304
145325,688623106431
167400,670541597767
167400,783318548449
167400,681706120003
170416,602573058695
180974,889696002389
180974,793631070725
203416,814743012653
203417,814743012660
205359,841333101961
215840,814743013148
215841,814743013131
215842,814743013155
221965,859930005742
226518,814743013599
226519,814743014251
226520,814743013636
226522,814743013582
2005,681706999999
242684,616909967308
193557,841333101343
35572,655132003797
319294,889698493512
84876,692000200025
84876,698997937937
84876,802294169667
84876,743181277570
84876,751195321066
84876,783149713894
84876,783327677598
35052,653569155096
181819,852613005589
241724,604565193599
2338,029877030101
2338,298770301018
2807,798527702889
2807,789264068840
2807,029877030774
2807,751195331713
2807,885345784712
2807,667649055244
2807,029877030729
2807,885909338856
2807,793631773152
2807,713830325938
2807,790405256644
2807,794819447087
2807,885184362249
2807,785924860410
2807,787799598344
4100,298770300196
4100,029877030019
4103,029877030743
4103,787799469118
4103,885441859819
4103,598900190339
4103,785924801673
21817,029877487226
27760,029877030675
27760,787799853849
27760,835769032869
27760,787793121517
66056,798525915656
66056,736126300150
66056,885518775479
66056,792491820402
66056,783324807431
66056,885240263725
66056,698887693035
66056,885939045229
66056,885274195719
66056,698997841241
66056,791159681508
66056,793631390748
66056,754295322247
66056,029877031313
66056,658107693306
103091,029877032044
135378,029877030750
152959,029877031023
229218,841333103330
17025,787799203934
17025,807658000372
17025,792736788467
17025,793631572304
17025,783495209829
265736,703570509637
265736,729220070531
218121,604565054616
267367,810024460045
22049,837654321591
173,751195346762
173,783329505639
173,798993252260
37904,751195346762
37904,783329505639
37904,798993252260
161842,791743174973
161842,797978343207
155996,696859265884
155996,082585502735
158326,885431508598
158326,798304258875
146791,094922476678
17223,699788109168
17223,086661900002
179460,608819334394
179460,696859265822
179460,784029137557
276104,655132005876
3495,742818140324
4004,074299427534
4004,033170271994
6485,074299427534
6485,033170271994
19578,852877000566
19578,027084214109
19725,852877000559
228867,801310113066
239307,841333106140
240909,803979036038
244918,814743013629
255675,814743014237
269968,814743014244
233078,841333103729
297486,850000576100
32683,027084424614
32683,787799845202
32683,742359809209
40834,797162804644
40834,793631944149
40834,655132005326
209419,797162804644
209419,793631944149
209419,655132005326
254470,850505008281
254470,741012346204
212346,801390116421
72478,681706070612
514,021853036015
2375,035261080027
2375,013031013017
2375,722208799561
2375,035261083387
2375,601934162736
2375,015659739430
2375,018717196442
2375,511923657115
2375,092815953275
2375,692000198575
2375,723707547745
2375,664960003329
2375,193818232128
2375,062352056036
2375,746264217005
2375,018717151014
2375,704786417983
2375,751195327877
2375,605930289299
2375,690284302770
2375,054161622632
2375,718725667087
2375,730828802172
2375,804072360136
2375,787551348316
110524,655132004893
113927,795871611188
113927,754295734446
113927,729220053046
125050,091037895486
139992,817009016792
140457,767485489095
140457,044988998942
140457,689070013006
142084,796762896141
145308,091037772206
194789,602573043622
2557,073000000769
10383,885214397890
10383,653569285007
10383,086631200002
10383,076930866108
10383,033170311416
3190,045802520202
3190,885303243831
23010,033170262305
23010,076930409596
27961,590291224433
27961,719283073884
27961,653569231257
126789,793631241590
126789,689466568608
126789,599038374028
126789,791209400455
126789,700304044662
126789,885144842026
183880,630509317929
183880,746550083895
183880,791385904969
183880,630509317325
199882,700304047588
199882,064312633363
4394,782361300950
4394,086626800002
4394,787551723816
4394,298770320132
4394,787799920688
4394,029877032013
107576,655132004633
191004,681706712659
191004,793631601851
34635,655132003612
299597,841333110338
2651,885756911080
2651,787799944479
2651,655132005067
2651,793631646470
2651,772223206391
2651,701017527619
2651,787551957280
155873,885756911080
155873,787799944479
155873,655132005067
155873,793631646470
155873,772223206391
155873,701017527619
155873,787551957280
179719,700304046659
179719,787799984147
179719,667649027791
194655,778988697924
224037,702874124201
232832,826956410102
232832,826956400103
242302,072922007320
242302,729220070326
256226,826956600114
24068,791743579082
24068,787799810989
24068,681706070308
24068,793631817436
24068,751195353135
266140,672975311520
237182,602573655900
3,841333100544
118,889696005793
8217,794628985879
8217,781624728449
8217,785924917138
8217,885372466124
8217,743181253703
8217,787799704103
8217,756806184634
166669,794628985879
166669,781624728449
166669,785924917138
166669,885372466124
166669,743181253703
166669,787799704103
166669,756806184634
195314,019962279201
244114,614019975688
275969,634482737675
143063,655132005005
192802,609456648783
1824,754295843421
1824,653569032038
65781,609722858625
234190,810270030825
234190,810270038159
221230,013964757392
142903,707137563728
2979,072348313906
6673,086675100009
6673,803004421006
6673,698798105245
6673,698887528016
6673,797770312111
10674,086675200006
10674,803004431005
195856,889696002617
195856,792736742582
195856,793631317110
195856,889696000033
10911,791159878731
10911,803004441004
10911,798256276262
47462,803004401305
47462,787551874273
47462,783149314237
188699,889696003102
256382,810558017395
232226,029877035298
300531,841333113049
84,092145610985
234,827912063462
1822,696735895976
3685,702021031611
12891,655132004510
17392,817054011407
20542,885187140509
20542,092145612644
24800,718122226252
26997,817054010110
29603,095109010180
31790,697597974885
37836,702021031215
37836,674498148348
38718,817054010882
38786,817054010172
38823,705105957616
38996,696745503557
38996,696749314371
38996,817054010806
39217,754295872520
39217,817054010059
40209,095109010197
41066,754295890272
41066,817054010103
42673,783327779520
42673,748223525978
42673,725357917619
62222,787551980578
62222,817054010295
62222,781624741684
65564,033586068539
65564,787551800197
65564,748223526012
68820,748223524391
68820,780742098472
68820,787551857412
69779,627843208228
69779,063118483509
84419,817054010066
88827,653569554509
94246,029877053124
94246,793631337149
94246,787799938669
102435,817054010448
111799,917054010421
111799,817054010424
113873,817054010530
123955,698887860536
123955,699107386997
123955,792736040312
123955,092145610329
127518,817054010431
130960,817054010851
132018,817054010936
132018,787551821819
132028,787799980682
132028,718122567492
132028,781624742407
135219,797864996371
136955,724500713078
144189,817054010707
149951,700615690992
154875,674498149505
154875,817054010981
162009,817054010950
162009,772223204038
162009,736126471263
164949,817054011216
165872,817054010974
199904,817054011278
302524,634482875209
148261,793631319848
148261,681706130002
255163,634482734612
423,298770047206
423,029877004720
124965,653569707981
124968,653569715214
130827,797162323497
130827,772223937585
144386,785239989868
144386,783719832321
144386,794819776415
144386,793631356515
156548,857445005110
224821,859358006086
177861,780742102896
10668,619770003076
11705,095109015048
37111,885138486632
37111,731215467141
37111,033170252795
4378,032244047824
4378,611417962562
4378,885312823680
157521,702021034025
5717,032244045073
7682,885971496188
7682,885690431453
7682,793631946822
7682,885261707024
7682,792736554598
7682,885100739148
7682,689196505508
7682,885691072709
7682,689196801211
8784,814390016936
8784,073854014455
195353,780742100274
43578,791209659167
43578,807658000105
94483,885339737014
94483,885507544376
94483,885240399592
94483,885971604620
94483,643356046768
94483,885950891607
94483,885924828172
94483,885910930650
94483,885333662749
172007,885254471000
172007,748252018397
172007,885890114569
172007,885554418286
189062,787799570791
189062,793631402632
189062,709853021100
230852,079346002054
244916,814743013681
70519,610585961018
225275,841333103262
144568,610585960462
99,064900000287
99,787551904192
148931,787793780929
148931,754295351469
148931,795871107919
148931,787793764349
148931,792736924452
148931,804551093838
148931,793631784752
148931,793631188697
158957,793631527823
158957,784311807595
158957,852613005015
158957,787793583568
158957,743181054720
177802,729220055095
199792,013964757521
199792,610585962367
9216,754295786780
9216,681706709505
274466,729220070364
10640,699788109083
424,029877004713
424,298770047138
3837,759751020415
27101,754295799131
27101,817054010165
30450,718122622443
65225,681706070476
65225,791209623373
65225,068170607047
65225,433599115501
65225,787551624182
72132,718122565993
72132,798256744877
204516,736211996480
206150,736211996787
206480,817054011926
220588,817054011698
233247,841333104719
139562,793573256133
147716,787799900871
147716,787551931082
147716,789264298872
181693,681706713915
254386,852068008036
218103,859930005698
37589,653569308485
172659,645871789274
19857,859129002071
218127,653341720207
99120,681706070872
99120,885358077221
1607,100177424132
1607,151902985015
1607,885378797444
1607,086002029171
1607,659213199041
1607,860020291716
1607,763615736435
1607,172302817126
1607,783329558536
1607,001910469147
1607,163120256488
1607,858160371030
1607,754005103784
1607,168141633805
168054,083196378535
168054,792273251110
168054,793631939879
193065,798304339307
3427,021853044706
9048,033170293705
9048,027084033304
9048,787793383397
9048,783419097600
13303,696748064529
13303,027084084764
96188,858506002055
65515,029877041176
65515,063474068686
65515,793631816743
65515,787551601459
281946,841333108304
225163,826956500001
168584,729220051141
168584,885406413841
168584,885357921525
168584,696749470794
168584,787793874413
168584,885966468329
179835,696859265914
150312,756806103567
150312,787799077610
150312,791068562226
150312,746550243343
150312,751473009259
150312,769294369612
262540,019962686511
1353,631080179753
163,787551948264
163,742359673305
163,772223978496
163,792165726641
163,787718883780
163,743181432849
1544,787551948264
1544,742359673305
1544,772223978496
1544,792165726641
1544,787718883780
1544,743181432849
14254,033586022005
20100,885194231740
20100,783329739980
20100,831112000516
20100,743181595285
20100,787799789230
20100,885899658736
20100,607052446086
20100,885286237353
20100,031112000510
925,044981095419
925,885879334360
925,636875810866
925,558380001020
925,885927716308
925,885398846207
925,885310881200
925,899998842736
925,607052445997
925,820646416801
925,799457339480
925,885946743842
