objectid,isbn
43359,978-0786962433
43359,0880381043
43359,0935696016
43359,3890840000
43360,3890840531
43360,4636302011
43360,978-0786962419
43360,0935696024
43360,0880380519
43361,978-0786962426
43361,0880380527
43361,3890840299
43361,0935696008
43367,0916211142
43368,0916122150
43368,0916211150
43369,9788882882075
43369,978-3867620321
43369,3867620326
43369,0786950439
43369,978-0786948673
43369,978-8374182294
43369,978-84-96934-23-8
43369,0786948671
43369,978-0786950430
43369,9782357830004
43370,978-3867620352
43370,3867620350
43370,978-0786948802
43370,978-8496934351
43370,0786948809
43370,9788882882082
43370,888288208X
43370,978-0786950447
43370,978-2357830011
43370,0786950447
43370,978-8374182300
43371,9783867620345
43371,0786950455
43371,9780786948529
43371,8882882098
43371,9788882882099
43371,3867620342
43371,0786948523
43371,9780786950454
43371,978-0786948529
43371,9788496934412
43372,978-2357830080
43372,978-0786949243
43372,978-8882882181
43372,0786949243
43372,0786949244
43386,0786949295
43386,8882882217
43386,9788882882211
43386,978-0786949298
43386,978-8496934597
43387,978-8496934399
43387,0786948507
43387,978-2357830035
43387,978-0786948505
43395,1574570064
43395,0916211053
43397,0916211495
43409,0786948728
43409,978-84-96934-48-1
43409,978-0786948727
43409,9780786948727
43410,978-0-7869-4935-9
43410,078694935X
43416,0786949783
43416,8882882195
43416,978-0-7869-4978-6
43416,0-7869-4978-3
43416,9788882882198
43510,1891153773
43511,978-1891153815
43511,8495830078
43511,1891153811
43512,1933105038
43513,978-1891153303
43513,8495830396
43513,9788495830395
43513,1891153303
43514,978-8495830746
43514,1891153358
43514,8495830744
43515,1891153838
43515,9788495830159
43515,8495830159
43517,1891153846
43518,1891153153
43518,8495830523
43518,9788495830524
43519,1891153854
43519,9788495830296
43519,8495830299
43520,8495830639
43520,9788495830630
43520,9781891153310
43520,1891153315
43523,1933105011
43524,8495830485
43524,978-8495830487
43524,1891153161
43525,1891153226
43527,1200003073
43529,1933105003
43536,190485429X
43536,978-1904854296
43580,0880383461
43580,978-0880383462
