objectid,mfgid
43359,"620-A0241000-001 EN"
43359,2010
43359,8136/1
43360,8236/0
43360,TSR2011-1E-P6
43360,2001
43360,2011XXX7301
43360,2011
43360,620-A0239000-001-EN
43361,2009XXX7301
43361,"620-A0240000-001 EN"
43361,2009
43361,8537/6
43363,2001
43364,2010PDF
43364,2010
43367,502
43368,503
43369,WOC2173672
43369,6001
43369,21736
43369,217367200
43369,219567200
43370,219577200
43370,2175072
43370,217507200
43370,21750
43370,WO217507200
43371,21720
43371,217207200
43371,2172072
43371,219587200
43372,218287200
43372,2182872
43372,61000
43372,21828
43386,218587200
43386,WOC2185872
43387,21787400
43387,WOC2171874
43395,500
43397,501
43409,2174174
43409,"WTC 217417400"
43409,WOC2174174
43409,21741
43409,217417400
43410,21863
43410,218637400
43410,2186374
43416,218987200
43416,WOC2178372
43510,EDN8005
43511,EDG8001
43511,EDN8001
43512,EDN8015
43513,EDG8006
43513,EDN8006
43513,8006
43514,EDN8010
43514,EDG8010
43515,EDG8002
43515,EDN8002
43517,EDN8003
43518,EDN8007
43518,EDG8007
43519,EDG8004
43519,EDN8004
43520,EDN8020
43520,8020
43520,EDG8020
43523,EDN8013
43524,EDG8008
43524,EDN8008
43525,EDN8009
43527,"EDN 8021"
43529,EDN8012
43535,"K&C 1040"
43536,MGP3344
43580,8506/3
43580,7007
43580,TSR1200
43582,GRR2505
43582,MM001
43582,GRR2501
43584,1400
43586,6801
43587,"PAL 1520"
43588,7800
43590,MGP4022
43591,7819
43592,1510
43593,7007
43596,6570
43597,7801
43597,8523/2
43598,7802
43599,7803
43601,1100
43601,3102
43602,GRR2001
43603,7809
43604,394-54834-5
43604,2017
43604,"620A3575000001 EN"
43604,"620A3573000001 EN"
43605,MGP4016
43606,MGP4412
43607,SIM07_SD
43608,1120
43609,GRR1102
43610,7817
43611,7818
43614,7812
43615,7805
43616,7808
43617,1300
43617,3101
43618,7810
43619,GRR2517e
43619,GRR2517
43620,107967200
43620,2001
43622,GRR2005
43623,2016XXX7301
43623,8538/5
43623,2016
43623,"TSR 2016"
43624,2012
43624,"TSR 2012"
43625,MGP4001
43626,0100
43627,1500
43628,MGP4002
43629,ZMG6050
