objectid,mfgobjectid,name,mfgname,quantity,height,width,thickness,quality,finish,mpn
384324,29087,"Resealable for Stickers (52 x 67)","ADC Blackfire Entertainment GmbH",100,65,50,40,standard,glossy,40061
384319,29087,"Small (46 x 70)","ADC Blackfire Entertainment GmbH",100,68,44,40,standard,glossy,40009
384321,29087,"Large (62 x 96)","ADC Blackfire Entertainment GmbH",100,94,60,40,standard,glossy,40004
384316,29087,"Medium (59 x 92)","ADC Blackfire Entertainment GmbH",100,90,57,40,standard,glossy,40005
384323,29087,"Oversize (82 x 122)","ADC Blackfire Entertainment GmbH",100,120,80,40,standard,glossy,40008
384318,29087,"USA (58 x 88)","ADC Blackfire Entertainment GmbH",100,86,56,40,standard,glossy,40007
384320,29087,"Square (72 x 72)","ADC Blackfire Entertainment GmbH",100,70,70,40,standard,glossy,40010
384315,29087,"Premium Outer Sleeve (69 x 94)","ADC Blackfire Entertainment GmbH",50,92,67,100,premium,glossy,03129
384322,29087,"Extra Large (67 x 102)","ADC Blackfire Entertainment GmbH",100,100,65,40,standard,glossy,40002
384317,29087,"Mini (44 x 67)","ADC Blackfire Entertainment GmbH",100,65,42,40,standard,glossy,40006
432919,4307,"admin test sleeve no color","Admin Test Publisher",50,100,50,0,,glossy,
388324,39941,"Test sleeve","Admin test publisher 3",50,1000,500,50,standard,matte,test
425999,396,"Poker-Sized - Premium (63x88mm)","Alderac Entertainment Group",500,88,63,90,premium,glossy,AEG6254
385686,396,"Tarot - Premium (71x121mm)","Alderac Entertainment Group",300,120,70,0,premium,glossy,AEG7052
384023,396,"Space Base - Premium (38x87mm)","Alderac Entertainment Group",100,87,38,0,premium,glossy,AEG1036
384246,10439,"Tarot - Clear Gloss (70x120mm)","Arcane Tinmen",100,120,70,80,premium,glossy,AT-10410
384241,10439,"Extra Large - Non-Glare Matte (65x100mm)","Arcane Tinmen",50,100,65,80,premium,matte,AT-10427
384236,10439,"Standard - Clear Gloss (63x88mm)","Arcane Tinmen",100,88,63,80,premium,glossy,AT-10406
384231,10439,"Mini - Non-Glare Matte (41x63mm)","Arcane Tinmen",50,63,41,80,premium,matte,AT-10425
384243,10439,"Oversize - Non-Glare Matte (79x120mm)","Arcane Tinmen",50,120,79,80,premium,matte,AT-10428
384238,10439,"Large - Clear Gloss (59x92mm)","Arcane Tinmen",100,92,59,80,premium,glossy,AT-10402
384233,10439,"Small - Non-Glare Matte (44x68mm)","Arcane Tinmen",50,68,44,80,premium,matte,AT-10424
384245,10439,"Square - Non-Glare Matte (70x70mm)","Arcane Tinmen",50,70,70,80,premium,matte,AT-10429
384240,10439,"Extra Large - Clear Gloss (65x100mm)","Arcane Tinmen",100,100,65,80,premium,glossy,AT-10407
384235,10439,"Medium - Non-Glare Matte (57x89mm)","Arcane Tinmen",50,89,57,80,premium,matte,AT-10423
384230,10439,"Mini - Clear Gloss (41x63mm)","Arcane Tinmen",100,63,41,80,premium,glossy,AT-10405
384247,10439,"Tarot - Non-Glare Matte (70x120mm)","Arcane Tinmen",50,120,70,80,premium,matte,AT-10430
384242,10439,"Oversize - Clear Gloss (79x120mm)","Arcane Tinmen",100,120,79,80,premium,glossy,AT-10408
384237,10439,"Standard - Non-Glare Matte (63x88mm)","Arcane Tinmen",50,88,63,80,premium,matte,AT-10426
384232,10439,"Small - Clear Gloss (44x68mm)","Arcane Tinmen",100,68,44,80,premium,glossy,AT-10404
384244,10439,"Square - Clear Gloss (70x70mm)","Arcane Tinmen",100,70,70,80,premium,glossy,AT-10409
384239,10439,"Large - Non-Glare Matte (59x92mm)","Arcane Tinmen",50,92,59,80,premium,matte,AT-10422
384234,10439,"Medium - Clear Gloss (57x89mm)","Arcane Tinmen",100,89,57,80,premium,glossy,AT-10403
384257,53749,"60x90 Lite - Standard",Archon,100,90,60,60,standard,glossy,ARCL6090
384252,53749,"45x70 - Premium",Archon,100,70,45,80,premium,glossy,ARC4570
384269,53749,"80x80 - Premium",Archon,100,80,80,80,premium,glossy,ARC8080
384264,53749,"65x90 - Premium",Archon,100,90,65,80,premium,glossy,ARC6590
384259,53749,"60x92 Lite - Standard",Archon,100,92,60,60,standard,glossy,ARCL6092
384254,53749,"56x87 - Premium",Archon,100,87,56,80,premium,glossy,ARC5687
384249,53749,"43x65 Lite - Standard",Archon,100,65,43,60,standard,glossy,ARCL4365
384266,53749,"70x120 - Premium",Archon,100,120,70,80,premium,glossy,ARC70120
384261,53749,"64x89 - Premium",Archon,100,89,64,80,premium,glossy,ARC6489
384256,53749,"57x90 - Premium",Archon,100,90,57,80,premium,glossy,ARC5790
384251,53749,"45x70 Lite - Standard",Archon,100,70,45,60,standard,glossy,ARCL4570
384268,53749,"80x122 - Premium",Archon,100,122,80,80,premium,glossy,ARC80122
384263,53749,"65x90 Lite - Standard",Archon,100,90,65,60,standard,glossy,ARCL6590
384258,53749,"60x90 - Premium",Archon,100,90,60,80,premium,glossy,ARC6090
384253,53749,"55x82 - Premium",Archon,100,82,55,80,premium,glossy,ARC5582
426001,53749,"64x89 Lite - Standard",Archon,100,89,64,60,standard,glossy,ARCL6489
384265,53749,"70x110 - Premium",Archon,100,110,70,80,premium,glossy,ARC70110
384260,53749,"60x92 - Premium",Archon,100,92,60,80,premium,glossy,ARC6092
395812,53749,"55x86 - Premium",Archon,100,86,55,80,premium,glossy,ARC5586
384255,53749,"57x90 Lite - Standard",Archon,100,90,57,60,standard,glossy,ARCL5790
384250,53749,"43x65 - Premium",Archon,100,65,43,80,premium,glossy,ARC4365
384267,53749,"70x70 - Premium",Archon,100,70,70,80,premium,glossy,ARC7070
384262,53749,"65x100 - Premium",Archon,100,100,65,80,premium,glossy,ARC65100
384279,16755,"82x122mm - Premium","Artipia Games",50,120,80,90,premium,glossy,P19SLV
384274,16755,"72x72mm - Standard","Artipia Games",100,70,70,40,standard,glossy,S01SLV
384281,16755,"67x102mm - Premium","Artipia Games",50,100,65,90,premium,glossy,P21SLV
384276,16755,"82x82mm - Standard","Artipia Games",100,80,80,40,standard,glossy,S03SLV
384271,16755,"61x93mm - Premium","Artipia Games",50,92,59,90,premium,glossy,PS18SLV
384278,16755,"82x122mm - Standard","Artipia Games",100,120,80,40,standard,glossy,S12SLV
