Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
steven-rhodes-dont-talk-to-strangers,Steven Rhodes: Don't Talk to Strangers,"<p><span>From the mind of Steven Rhodes, a graphic artist, and illustrator best known for his offbeat reimagining of children’s activity books from the ’70s and ’80s. <em>Don’t Talk to Strangers</em><strong> </strong>immerses you in these hilariously dark retro worlds and is one of three stand-alone games in Vol. 1 of Steven Rhodes Games. </span></p>
<p><span>Don't Talk to Strangers starts when school lets out for the day--mom and dad haven't noticed yet, but STRANGERS are popping up everywhere--and these STRANGERS are really strange--""from another planet"" strange! Each turn you'll play a new movement card in order to navigate your kids - one at a time - from the starting school space, across the board to a ""scoring space"", that's both safe from aliens and a fun way to waste the afternoon!</span></p>
<p><span>School's out but otherworldly STRANGERS are here! Mom and Dad haven't caught on yet so you're on your own, kiddo. Play your cards as efficiently as you can, helping to navigate your kids one at a time from SCHOOL to a SCORING space. Score as many points as you can before the neighborhood is completely overrun with STRANGERS!</span></p>
<p><span>Game Play:</span></p>
<p>1. At the start of the game, each player will draw a hand of 3 cards and place one of their kids in the SCHOOL space. Your goal is to get that kid into a valuable scoring space, at which point you'll place a new kid in the SCHOOL space and repeat the process. Some spaces are worth more points at the end of the game, and some confer a unique bonus (for example, your hand size increases by 1 for each kid you have in the Library).</p>
<p>2. Remember: You want to score a good space, but you'll have to Walk, Run, Skateboard, School Bus, and even City Bus to get there! Each turn you'll play one card and draw a new card to replace it!</p>
<p>3. But watch out! When any player draws a STRANGER card, they can abduct any kid on a ""STRANGER SPACE!"" Furthermore, now that a STRANGER is lurking in that space, it is impassable for all future movement...so you may have to reroute your plans on the fly! SAUCER cards can abduct *any* kid<span>—</span><span>even one who has already scored</span><span>—</span><span>but your opponent will have to get lucky when they flip the FLYING SAUCER COIN or you'll escape abduction!</span></p>
<strong>Players</strong><span data-mce-fragment=""1"">: 1-4</span><br data-mce-fragment=""1""> <strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Ages</span></strong>: 12 and up<br> <strong data-mce-fragment=""1"">Time</strong>: 15-20 minutes<br data-mce-fragment=""1""> <strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Mechanic</span></strong>: Take That<br> <strong>Complexity</strong>: Medium Light <br data-mce-fragment=""1""> <br data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Contents</strong><span data-mce-fragment=""1"">:</span><br><span data-mce-fragment=""1"">100 Cards</span><br><span data-mce-fragment=""1"">10 Stranger Tokens</span><br><span data-mce-fragment=""1"">40 Kid Tokens</span><br><span data-mce-fragment=""1"">1 Flying Saucer Coin</span><br><span data-mce-fragment=""1"">1 Double-sided Game Board </span><br><span data-mce-fragment=""1"">1 Rulebook </span>",Cryptozoic Entertainment,Toys & Games > Games > Board Games,Card Game,"2-player games, boardgame, family games, new, stevenrhodes, strategy",true,Title,Default Title,,,,,CTZ28883,498.951607,shopify,2,deny,manual,15.99,19.99,true,true,814552028883,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/StrangersBox-rev_397x397_5af38b28-9514-4b91-9edb-cd447df9d6a3.jpg?v=1697593338,1,,false,,,,,,,,,,,,,,,lb,,10.59,true,,,true,,,active
steven-rhodes-dont-talk-to-strangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/Artboard5_1200x1200_397x397_64d1f9d2-e8b5-4eb8-91f9-e6c1af8b33ba.jpg?v=1697593340,2,,,,,,,,,,,,,,,,,,,,,,,,,,
steven-rhodes-dont-talk-to-strangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/Artboard3_1200x1200_397x397_f042b6a8-d855-4f20-b834-5be8c363d821.jpg?v=1697593340,3,,,,,,,,,,,,,,,,,,,,,,,,,,
steven-rhodes-dont-talk-to-strangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/Strangers-Dramatic-rev_397x224_dc532848-a7e5-4328-a796-1d03c392de6d.jpg?v=1697593568,4,,,,,,,,,,,,,,,,,,,,,,,,,,
bureau-of-investigation,Bureau of Investigation: Investigations in Arkham & Elsewhere,"<p><span data-mce-fragment=""1"">""Welcome to the Bureau of Investigation, agents! Here are five very peculiar cases. I believe the individual who reported them has a fertile imagination. If these facts prove to be true, it will take you more than a strong stomach to solve them. Here are your badges... Good luck!""</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Bureau of Investigation: Investigations in Arkham &amp; Elsewhere is a complete and independent investigation game set in the Cthulhu Mythos. These cases transport you into the United States of America in the 1920s to tear the veil dissimulating unspeakable threats from Elsewhere. The game is based on the rules of Sherlock Holmes Consulting Detective, with a few added new investigative mechanics.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<p><strong>Players</strong>: 1-8<br data-mce-fragment=""1""> <strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Ages</span></strong>: 14 and up<br data-mce-fragment=""1""> <strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Time</span></strong>: 90-240 MInutes <br data-mce-fragment=""1""> <strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Mechanic</span></strong>: Cooperative, Narrative Choice<br data-mce-fragment=""1""> <strong data-mce-fragment=""1""><span data-mce-fragment=""1"">Complexity</span></strong>: Medium <br data-mce-fragment=""1""> <br data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Contents</strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">1 map of London</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">3 additional maps</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">1 envelope with 12 clues</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">5 case booklets</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">10 newspapers</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">1 London directory</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">1 rulebook</span></p>",ASMODEE,Toys & Games > Games > Board Games,Board Game,"2-player games, adventure, boardgame, historical games, new, recommended, solo mode games, strategy",true,Title,Default Title,,,,,ASMBOI01,2086.524902,shopify,2,deny,manual,36.00,45.00,true,true,9782370990396,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/asmboi01_web_box_3d_l.jpg?v=1697436681,1,,false,,,,,,,,,,,,,,,lb,,25.65,true,,,true,,,active
bureau-of-investigation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/pic6796272.jpg?v=1697436681,2,,,,,,,,,,,,,,,,,,,,,,,,,,
bureau-of-investigation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/pic6721116.jpg?v=1697436681,3,,,,,,,,,,,,,,,,,,,,,,,,,,
bureau-of-investigation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/asmboi01_web_1content.jpg?v=1697436681,4,,,,,,,,,,,,,,,,,,,,,,,,,,
bureau-of-investigation,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/71Nwwk6ve6L._AC_SL1500.jpg?v=1697436810,5,,,,,,,,,,,,,,,,,,,,,,,,,,
noobs-in-space,Noobs in Space,"<span data-mce-fragment=""1"">You are a team of newbie astronauts sent on an actual mission in an actual spaceship in actual outer space! Exciting, right? It would be...if any of you actually knew what you were doing. Would have been nice to have at least one experienced pilot on board, but now that you're here, you'll just have to figure it out as you go along.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">In Noobs in Space, a team of two to five players must complete a series of tasks and challenges together, using what little knowledge you have. Not all hope is lost because each of you has a small part of the solution; you just need to figure out how to put it all together. While one player may know the task at hand but not have the resources to implement it, those resources may be shared among three other players. They, on the other hand, do not know what is necessary based on the information they have. Since players cannot show cards to each other, there must be a lot of clear communication and interaction by describing or reading out cards in order to gradually find out what should be done — and all of this must be done as quickly as possible.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">The story leads through several levels, and each level consists of several tasks, so the whole game is an action-packed event from beginning to end.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">3-5 players</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Ages 10+</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">15 minute play time</span>",THAMES & KOSMOS,Toys & Games > Games > Board Games,Card Game,"boardgame, card games, dexterity games, family, family games, new",true,Title,Default Title,,,,,THK683771,498.951607,shopify,3,deny,manual,11.99,14.95,true,true,814743018365,https://cdn.shopify.com/s/files/1/0749/3337/1164/files/thk683771_web_front.jpg?v=1697063508,1,,false,,,,,,,,,,,,,,,lb,,8.25,true,,,true,,,active
