objectid,isbn
173346,5425016923818
17226,1616611898
104162,1616611898
130806,1616615451
132005,1616615958
133500,1616615966
135103,1616615974
137863,1616615990
142727,1616617241
143694,161661725X
144640,1616617268
146243,1616617276
147739,1616617284
149085,1616617292
154544,1616618795
157482,1616618817
159073,1616618825
160683,1616618833
162359,1616618841
168823,1633440303
172404,1633440311
172620,163344032X
173909,1633440338
175436,1633440346
176426,1633440354
178866,1633441946
41032,0978811119
25261,1589943783
125472,098020920X
153758,1616617659
19777,9990069573
25554,4005556269945
213984,4005556269945
31594,4005556269938
214000,4005556269938
59959,161661613X
90137,1589946901
140620,3770002176184
151347,1936920573
228341,8594156310424
115293,161661398X
140149,1941816002
250458,194794116X
1301,1616614609
124742,1616614609
134342,0786964502
128442,161661336X
141320,1938146832
20806,0786940727
66056,1569052441
152959,1569052395
164169,1616619414
22049,1556347510
173,2914849648
37904,2914849648
146791,0984608087
17223,1589942388
212346,1941816428
2375,035261080027
29581,1594721009
119550,1616613653
110524,161661076X
218178,3760146640566
4394,1569050945
224037,8594156310400
8217,4005556812066
166669,4005556812066
234,1427616485
243,9990382220
88827,0786957484
94246,1569052522
24157,0966347641
124965,078696023X
124968,0786960442
192401,8054181512274
18615,1844163318
37111,1589944607
58886,3890649734
268864,1472834704
131449,1938146719
150312,3760175512346
113997,3558380029564
181304,3558380029564
166384,1617684287
198454,5425016921951
218311,8890944749
218530,7426102655659
80311,1589949161
95610,1616610301
110517,1616611499
118006,1616613645
4753,158994075X
220,1472827775
107529,4010350608326
12493,158994206X
233078,158994206X
159473,0989829529
192860,3760175513015
154259,0990394603
66508,8032611691027
29298,1589943597
31536,1589943708
36946,1589944348
162388,1936920409
9609,1903385113
115746,1903385113
150997,0984608095
45132,1569052344
42980,1594721157
112064,1616612576
372,3760175513039
37601,1589944976
123695,1616615540
123695,1616614412
2511,2370990074
146021,1616617667
121786,1616613998
123483,161661367X
124349,1616613688
124172,1936055414
1489,1591000335
222542,3558380050421
164663,1616619449
4035,1575281740
29096,1589945530
15,1589944968
39463,1589944968
40529,1589944968
124300,1616614269
153233,1616618337
39339,1589943449
59946,0786955570
59946,9780786955572
2455,1569050791
127127,1617682136
77423,1589949811
13751,3937826173
31291,8496934160
42939,0984608001
171131,3760146643123
318977,883138211X
121787,3558380014188
152867,7629999021952
34871,1616610255
187687,1601258976
187687,9781601258977
136362,1616615532
242892,1785817140
133038,1601255500
15987,1589942108
220367,1948285088
25234,1569051356
38796,1589945034
39856,3060333327
9829,1589941551
21523,1589941551
134157,1938146344
24491,1427616558
181176,0989040615
145588,1938146085
193558,1938146042
13081,1589942310
13081,156504228X
246783,1472830679
174090,3558380031260
35524,1582679517
472,1589949048
71061,1589949048
253925,1945625082
178900,8594156310318
67492,1589946936
137031,0620659890
171046,0620659904
154414,1616614528
89976,2914849753
2471,3937826548
36648,4751010195496
133704,1616615516
1188,158994559X
287247,1947941194
202408,8594156310370
202976,5425016921005
23094,1616617071
111732,1938146956
143176,1938146662
216734,1988884179
72848,0985858001
181158,3770002176702
156776,1616619090
77130,1589949358
77130,1589949366
17329,0789457075
10934,0641807775
40990,1280225459
160432,1938146484
50750,0984155848
92539,5425016920626
42,1616619104
116998,1589780450
170624,1938146239
1931,1575282607
2456,1589940539
5050,1575281449
12205,1888439874
26566,0984155864
26566,0984155805
245271,0759751004248
130500,1616615494
196340,1938146050
123185,0786960167
123185,B007TB3R80
183138,3558380030294
230889,8437016958001
6738,1589940997
194553,1938146077
62871,8415334508
3955,8032611691003
