objectid,ean
43360,9780935696028
43369,8601300491905
43369,9780786948673
43369,9783867620321
43370,9780786948802
43371,9780786948529
43372,0783324956504
43372,9780786949243
43386,9780786949298
43387,9780786948505
43409,9780786948727
43410,9780786949359
43416,9780786949786
43520,9781891153310
43643,9780786949571
43659,5011921000241
43673,9780786950164
43688,0783324953091
43688,9780786949816
43702,9780979245565
43719,9781848561748
43719,9781932386882
43804,9780976904205
43811,9780977153404
43828,9780786950027
43832,9780786949809
43832,9782357830134
43833,9780786951017
43834,9780786951390
43835,9780786952427
43836,9780786950690
43842,9781568821818
43859,9780874312119
43918,9781556341595
43985,9780912515007
44034,9780786928866
44055,9780933635869
44081,9780880383387
44081,9780935696486
44087,9780394515472
44199,9780976360162
44201,9780966476514
44201,9781565045903
44272,9780394511832
44383,9781934859070
44744,9780786951000
44783,9781588467898
44988,9781904577256
44994,9781887797238
45017,9780786949274
45081,9781887797122
45143,9781872372228
45646,9781568820187
45646,9781568821061
45648,9781560768340
45728,9780937279557
45980,9781932386103
46076,5011921001118
46076,9781869893514
46114,9781560760856
46177,9780786948208
46178,9780786949540
46199,9781844164332
46202,9780786950195
46205,9780786950003
46207,9780786952670
46209,9780786951024
46214,9780786948024
46216,9780786952236
46217,9780786952663
46218,9780786952687
46219,9780786952694
46220,9780786952700
46221,9780786952717
46222,9780786952724
46223,0653569413516
46223,9780786952793
46225,9780786952809
46226,9780786952250
46228,9780786952816
46229,9780786952823
46230,9780786952786
46231,0653569413530
46231,9780786952779
46232,0653569413547
46232,9780786952762
46233,9780786952755
46234,9780786952748
46237,9780786952311
46239,9780786949779
46240,9780786949281
46241,9780786949793
46242,9780786948536
46243,9780786948734
46244,9780786948741
46249,0046363024000
46249,9780786901623
46249,9781560761044
46419,9780933635029
46419,9780933635159
46438,9780933635524
46438,9781568821573
46443,9781568820699
46505,9781894525312
46587,9780933635760
46698,9781568821153
46704,9781568821382
46709,9781588462480
46717,9781568589411
46717,9781568821849
46922,9781928999003
47095,9780874310696
47468,9781889182360
47927,0783419268895
47927,0787799925195
47927,8580001045863
47927,8601200662344
47927,8601400919125
47927,8601404342868
47927,9781601251503
47927,9781601256300
48206,9780786949823
48394,8601401214663
48394,8601416175829
48394,9780786950997
48395,9780786950171
48544,9780394521855
48544,9780935696592
48835,9781588469465
48949,9780880380423
48956,9781568821658
48966,9780786948550
48968,9780933635265
49028,9781589945487
49655,9781588469472
49765,9780786948017
49921,9780786950638
50040,9780937279519
50040,9783926801555
50043,9780982300183
50985,0783324811001
50985,8601415714616
50985,9781589946750
51586,9780920711064
51602,9780920711040
52847,9780578014746
52847,9787770056598
54455,9781601251862
55246,9780786952045
55836,9781589946965
55837,9781589946958
56117,9781560769422
57028,9780880381550
57153,9780786952441
58520,9780786952472
58522,9780786950232
58523,9780786952489
58541,9780786952052
58622,9781568823058
59658,9780786952465
61075,9780786952908
61076,9780786952854
61077,9780786952847
61078,9780786952878
61079,9780786952861
61081,9780786952885
61082,9780786952892
61443,0653569415381
61443,9780786952922
61444,0653569415398
61444,9780786952939
61445,0653569415497
61445,9780786952953
61446,0653569415510
61446,9780786952960
61448,0653569415541
61448,9780786952977
62390,9781601252067
62447,0783324808391
62447,8601234628125
62447,9781601252173
62561,9781601252258
63104,8601410283926
63104,9781589946989
63770,9781589945517
63775,9780786952496
64600,9780786954933
64601,9780786954940
65221,9781589946972
65332,9780786953875
66316,9780786955084
66317,9780786955091
66318,9780786955107
66326,9780977153473
66908,9780786953868
67011,8580001044392
67011,9780786956296
67019,9780786956210
67020,9780786941483
67020,9780786956302
67021,9780786956203
67516,9780786955527
67791,9780786953974
68449,9780786953905
68615,9780786955343
69528,9781601253170
69600,9780786953981
69727,9781589947016
69791,9780786953929
69804,9781560768203
70974,9780786954889
71412,9781589947023
72162,9780470292907
72163,9780470292914
72605,9780786954902
72606,9780786954896
72623,9781589947788
75389,9781589947030
75447,9781568821573
75537,9780786954919
75542,9780786954926
75544,9780786955497
76155,0777904354590
76155,8780540032366
76156,8780540025054
76157,0787799448649
76157,8780540023906
77653,9780557500024
78461,9780786954957
81166,8780540032298
82714,9780786956197
82859,9781589947795
83539,8580001070377
83539,9780786956319
85067,9781589947801
85397,9781589947245
86058,9781589947405
86059,0001589947045
86059,9781589947047
86060,9781589947412
86061,9781589947252
86062,9781589947399
87595,9781589947818
88012,0000954752635
88012,8601416185965
88012,9780954752637
88476,9781589947610
88994,9781589947184
90021,9781934547410
93970,9780983277903
95307,9781589947658
98302,9781601253729
99397,9780857440877
100409,9780786958382
100410,9780786958009
101717,9781937013042
102704,9781931374330
104562,9781448675432
105325,9781594591150
121006,9781936685165
122666,0001594591318
122666,9781594591310
135940,8601418085584
135940,8601421166416
135940,9781936781119
146117,9781908983473
234669,0841333104085
239970,9780997671193
285653,9781912743292
324624,9781950783571
350611,8435407636132
