objectid,gtin
44867,9780786928361
44873,742818036016
44874,0786926597
44874,9780786926596
45199,9781588466846
45290,9780786926398
46620,9781568820491
47433,9780970531223
47556,1565043367
47961,9781589944565
48225,9781588463258
48444,0880380012
48735,9781934434116
48837,9780964363007
50305,9781568824109
50492,9781568820194
50495,9781568820521
51888,9781930658035
54127,9781931567169
56277,0874313155
58559,018874205544
67402,9781589947948
68099,9780935696363
85068,9781589947955
95708,9781589947986
103134,9781589947979
105189,9781589948006
137785,9780857441393
142337,9781601255754
149021,9780857441799
174620,9781613171325
192563,9780996181327
203811,9780786966004
228718,9780786966103
258416,9781633443402
269781,9781633443457
272483,9781633443464
285377,9781950911011
285653,9781912743278
