handle,metafield,price
box-insert-wingspan-expansions,,14.7
ultra-pro-binder-eclipse-12-pocket,,22.45
ultra-pro-binder-eclipse-9-pocket,,15.2
star-wars-shatterpoint-ground-cover-terrain,,56.99
bcw-cardboard-box-400ct,,1.54
bcw-cardboard-box-800ct,,2.31
nemesis-lockdown-space-cats,,30.39
tabletop-potion-light,,28.49
star-wars-shatterpoint-high-ground-terrain,,56.99
dragon-shield-brushed-art-morty,,14.43
dragon-shield-100ct-matte-card-sleeves,,8.54
warpaints-speedpaint-mega-set,,59.72
magic-the-gathering-playmat,,7.41
pokemon-paldean-fates-elite-trainer-box-etb,,47.49
pokemon-paldean-fates-tech-sticker-collection,,15.19
pokemon-paldean-fates-ex-premium-collection,,37.99
pokemon-paldean-fates-tin,,27.54
pokemon-paldean-fates-mini-tins,,7.59
pokemon-paldean-fates-booster-bundle,,23.74
the-ships-of-akarios,,53.2
warpaints-air-mega-set,,136.8
dragon-shield-dual-matte-100ct-standard-card-sleeves,,9.49
legion-supplies-deck-box,,3.8
legion-supplies-matte-standard-card-sleeves-50ct,,4.28
star-wars-legion-sun-fac-and-poggle-the-lesser,,23.21
star-wars-legion-geonosian-warriors,,30.95
game-genic-deck-box-sidekick-100-xl,,16.42
game-genic-deck-box-squire-100-xl,,16.42
game-genic-deck-box-watchtower-100-xl,,26.59
deck-protector-ultra-snug-almost-a-penny-100,,1.89
bcw-toploader-3x4-25ct,,3.32
magic-the-gathering-playmat-secret-lair,,18.99
pokemon-obsidian-flame-booster-pack,,4.28
dragon-shield-deck-protector-perfect-fit-100,,4.55
how-well-do-we-know-each-other,,26.59
pokemon-playmat,,15.95
monster-prism-tube,,6.83
pokemon-paldean-fates-booster-pack-1,,5.7
playmat-solid-color,,11.87
ultimate-guard-boulder-100,,9.87
dragon-shield-art-sleeves,,12.91
ultimate-guard-boulderntray,,12.15
gamegenic-deck-box-deck-holder-100,,2.85
monster-deck-box-triple-white,,10.44
ultra-pro-pokemon-deck-box,,3.79
ultra-pro-pokemon-alcove-flip-frosted-forest,,14.2
ultra-pro-toploader-3x4-25ct,,3.33
dvg-9105-bang-the-dice-game,,15.19
gamegenic-prime-sleeves,,1.89
dune-imperium-card-sleeves,,7.6
ultrapro-3-x-4-regular-toploader,,2.37
warhammer-age-of-sigmar-starter-set-warrior,,40.38
gaw-47-33-warhammer-40k-astra-militarum-cadian-shock-troops,,40.38
gaw-93-08-warhammer-age-of-sigmar-death-nighthaunt-spirit-hosts,,27.06
gaw-49-28-warhammer-40k-necrons-lokhusts-heavy-destroyer,,28.26
gaw-54-15-warhammer-40k-imperial-knights-knight-preceptor-canis-rex,,137.28
gaw-43-19-warhammer-40k-chaos-space-marine-terminators,,48.45
gaw-51-08-warhammer-40k-tyranid-hive-tyrantswarmlord,,48.45
gaw-50-16-warhammer-40k-ork-gretchin,,20.19
gaw-50-10-warhammer-40k-ork-boyz,,29.07
gaw-48-93-warhammer-40k-space-marines-primaris-eliminators,,48.45
gaw-48-44-warhammer-40k-space-marines-bladeguard-veterans,,48.45
gaw-48-77-warhammer-40k-space-marine-primaris-redemptor-dreadnought,,60.56
gaw-48-75-warhammer-40k-space-marine-primaris-intercessors,,48.45
gaw-66-53-citadel-plastic-glue-global,,6.26
warhammer-underworlds-gnarlwood-grinkraks-looncourt,,33.92
citadel-paint-brushes,,7.47
citadel-colour-base-paints,,3.68
citadel-colour-shade,,6.3
citadel-color-contrast,,6.3
warhammer-underworlds-starter-set,,48.45
warhammer-40-000-astra-militarum-leman-russ-battle-tank,,52.49
warhammer-40k-combat-patrol-adepta-sororitas,,130.14
warhammer-40k-world-eaters-khorne-berzerkers,,52.49
citadel-skulls,,28.26
warhammer-40k-necrons-immortals,,36.34
warhammer-40k-introductory-set,,52.49
warhammer-40k-adeptus-mechanius-skitarii,,44.41
warhammer-40k-space-marines-infernus-marines-paints,,28.26
warhammer-age-of-sigmar-paints-tool-set,,36.34
warhammer-40k-paints-tool-set,,36.34
warhammer-tau-empire-commander,,48.45
warhammer-40k-chaos-space-marines-raptors,,36.34
warhammer-40000-rubric-marines,,48.45
warhammer-40k-chaos-space-marines-legionaries,,52.49
warhammer-40000-tau-empire-pathfinder-team,,36.34
warhammer-age-of-sigmar-stormcast-eternals-vindictors-paints-set,,28.26
warhammer-40k-tau-empire-stealth-battlesuits,,28.26
warhammer-40000-xv88-broadside-battlesuit,,48.45
warhammer-40000-myphitic-blight-hauler,,23.42
warhammer-40000-retributor-squad,,48.45
warhamer-age-of-sigmar-lumineth-realm-lords-vanari-auralan-sentinels,,48.45
warhammer-40000-custodian-wardens,,48.45
citadel-color-layer,,3.68
citadel-paint-dry,,3.68
citadel-colour-technical,,6.3
warhammer-underworlds-nethermaze-hexbanes-hunters,,33.92
citadel-colour-spray,,15.34
getting-started-with-warhammer-age-of-sigmar,,12.11
warhammer-40000,,48.45
gamegenic-playmat-tube,,6.83
gamegenic-dungeon-s-550,,30.39
gamegenic-cards-lair-400,,45.59
warhammer-40000-orks-boyz,,44.08
warhammer-40000-imperial-knights-knight-armigers,,76.31
warhammer-40000-getting-started-with-warhammer,,15.2
warhammer-40000-imperial-knights-knight-questoris,,144.54
fallout-the-roleplaying-game-gm-screen-booklet-flysheet,,25.08
lorcana-shimmering-skies-deck-box,,5.69
lorcana-card-sleeves,,9.49
my-fathers-work,,104.5
